ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
013,KO,면류,만두 (8P),,바삭하게 튀겨진 만두 8개,6000,"밀가루, 돼지고기","만두피(밀), 돼지고기"
014,KO,밥류,볶음밥,,기본 돼지고기 볶음밥,9000,돼지고기,"볶음밥, 돼지고기"
015,KO,밥류,새우볶음밥,,새우가 듬뿍 들어간 볶음밥,10000,"해산물, 돼지고기","새우, 볶음밥, 돼지고기"
016,KO,밥류,짬뽕밥,,짬뽕 국물과 함께 즐기는 짬뽕밥,10000,"해산물, 돼지고기","해산물, 짬뽕, 돼지고기"
017,KO,밥류,삼선짬뽕밥,,해산물과 돼지고기가 들어간 삼선짬뽕밥,13000,"해산물, 돼지고기","해산물, 짬뽕, 돼지고기"
018,KO,밥류,다슬기짬뽕밥,,다슬기와 함께 즐기는 짬뽕밥,14000,"민물고기, 돼지고기","다슬기, 짬뽕, 돼지고기"
019,KO,밥류,잡채밥,,잡채와 밥이 함께 어우러진 한 그릇,10000,돼지고기,"잡채, 돼지고기"
020,KO,밥류,중화비빔밥,,중화 스타일의 비빔밥,12000,돼지고기,"비빔밥, 돼지고기"
021,KO,밥류,잡탕밥,,다양한 해산물과 고기를 곁들인 잡탕밥,20000,"해산물, 돼지고기","해산물, 잡탕, 돼지고기"
022,KO,밥류,짜장밥,,짜장 소스를 얹은 밥,9000,돼지고기,"짜장, 돼지고기"
023,KO,요리류,탕수육 (소),,바삭한 튀김과 달콤한 소스가 어우러진 탕수육,20000,돼지고기,"돼지고기, 튀김"
024,KO,요리류,탕수육 (중),,바삭한 튀김과 달콤한 소스가 어우러진 탕수육,30000,돼지고기,"돼지고기, 튀김"
025,KO,요리류,탕수육 (대),,바삭한 튀김과 달콤한 소스가 어우러진 탕수육,40000,돼지고기,"돼지고기, 튀김"
026,KO,요리류,찹쌀탕수육 (소),,찹쌀을 사용한 쫀득한 식감의 탕수육 (소),35000,"돼지고기, 찹쌀","돼지고기, 찹쌀, 튀김"
027,KO,요리류,찹쌀탕수육 (중),,찹쌀을 사용한 쫀득한 식감의 탕수육 (중),35000,"돼지고기, 찹쌀","돼지고기, 찹쌀, 튀김"
028,KO,요리류,찹쌀탕수육 (대),,찹쌀을 사용한 쫀득한 식감의 탕수육 (대),45000,"돼지고기, 찹쌀","돼지고기, 찹쌀, 튀김"
029,KO,요리류,양장피,,돼지고기와 해산물이 어우러진 양장피,50000,"돼지고기, 해산물","양장피, 돼지고기, 해산물"
030,KO,요리류,팔보채,,돼지고기와 해산물이,40000,"돼지고기, 해산물","양장피, 돼지고기, 해산물"
031,KO,요리류,류산슬,,돼지고기와 해산물이 듬뿍 들어간 류산슬,50000,"돼지고기, 해산물","류산슬, 돼지고기, 해산물"
032,KO,요리류,고추잡채,,매콤한 고추잡채,50000,돼지고기,"고추잡채, 돼지고기"
033,KO,요리류,깐풍새우,,매콤하고 바삭한 깐풍새우,50000,"해산물, 돼지고기","새우, 깐풍, 돼지고기"
034,KO,요리류,깐쇼새우,,새콤달콤한 깐쇼새우,50000,"해산물, 돼지고기","새우, 깐쇼, 돼지고기"
035,KO,요리류,깐풍기,,매콤하고 바삭한 깐풍기,45000,닭고기,"닭고기, 깐풍"
036,KO,계절별미,냉우동,,시원한 국물과 함께 즐기는 냉우동,9000,"밀가루, 해산물","냉우동, 해산물"
037,KO,계절별미,콩국수,,고소하고 시원한 콩국수,9000,콩,"콩, 국수"
038,KO,세트메뉴,탕수육+짜장+짜장,,탕수육과 짜장면 두 그릇 세트,30000,돼지고기,"탕수육, 짜장, 돼지고기"
039,KO,세트메뉴,탕수육+짜장+짬뽕,,"탕수육과 짜장면, 짬뽕 한 그릇 세트",31000,"돼지고기, 해산물","탕수육, 짜장, 짬뽕"
040,KO,세트메뉴,탕수육+짬뽕+짬뽕,,탕수육과 짬뽕 두 그릇 세트,32000,"돼지고기, 해산물","탕수육, 짬뽕"
041,KO,밥류,공기밥,,추가 공기밥,1500,해당 없음,쌀
042,KO,밥류,곱배기,,곱배기 추가,2000,해당 없음,쌀
043,KO,밥류,매운맛추가,,매운맛 추가 옵션,1000,해당 없음,"고추, 양념"
001,ZH,面类,螺蛳炸酱面,,加入螺蛳的香浓炸酱面,11000,"淡水鱼, 猪肉","螺蛳, 炸酱, 猪肉"
002,ZH,面类,螺蛳海鲜面,,辣味海鲜汤面加入螺蛳的特别口味,13000,"淡水鱼, 猪肉","螺蛳, 海鲜汤, 猪肉"
003,ZH,面类,螺蛳炸酱面大盘（2人份）,,与螺蛳一起享用的大份量炸酱面（2人份）,24000,"淡水鱼, 猪肉","螺蛳, 炸酱, 猪肉"
004,ZH,面类,螺蛳炸酱面大盘（3人份）,,与螺蛳一起享用的大份量炸酱面（3人份）,35000,"淡水鱼, 猪肉","螺蛳, 炸酱, 猪肉"
005,ZH,面类,手工拉面炸酱面,,用手工拉面制作的正宗炸酱面,8000,猪肉,"炸酱, 猪肉"
006,ZH,面类,三鲜干炸酱面,,海鲜和猪肉丰富的干炸酱面,11000,"海鲜, 猪肉","海鲜, 干炸酱, 猪肉"
007,ZH,面类,炒码面,,辣味汤底配各种海鲜的炒码面,9000,"海鲜, 猪肉","海鲜, 炒码, 猪肉"
008,ZH,面类,牛腩炒码面,,牛腩和海鲜搭配的浓郁口味炒码面,13000,"牛肉, 海鲜","牛腩, 炒码, 猪肉"
009,ZH,面类,三鲜炒码面,,加入海鲜和猪肉的三鲜炒码面,11000,"海鲜, 猪肉","海鲜, 炒码, 猪肉"
010,ZH,面类,三鲜乌冬面,,加入各种海鲜的乌冬面,13000,"海鲜, 猪肉","海鲜, 乌冬面, 猪肉"
011,ZH,面类,炸酱面大盘（2人份）,,两人份量的大盘炸酱面,26000,猪肉,"炸酱, 猪肉"
012,ZH,面类,炸酱面大盘（3人份）,,三人份量的大盘炸酱面,36000,猪肉,"炸酱, 猪肉"
013,ZH,面类,饺子（8个）,,8个酥脆煎饺,6000,"面粉, 猪肉","饺子皮（面粉）, 猪肉"
014,ZH,饭类,炒饭,,基本猪肉炒饭,9000,猪肉,"炒饭, 猪肉"
015,ZH,饭类,虾仁炒饭,,大量虾仁的炒饭,10000,"海鲜, 猪肉","虾仁, 炒饭, 猪肉"
016,ZH,饭类,炒码饭,,配炒码汤的炒码饭,10000,"海鲜, 猪肉","海鲜, 炒码, 猪肉"
017,ZH,饭类,三鲜炒码饭,,加入海鲜和猪肉的三鲜炒码饭,13000,"海鲜, 猪肉","海鲜, 炒码, 猪肉"
018,ZH,饭类,螺蛳炒码饭,,加入螺蛳的炒码饭,14000,"淡水鱼, 猪肉","螺蛳, 炒码, 猪肉"
019,ZH,饭类,杂菜饭,,韩式杂菜与米饭一起的美味一碗,10000,猪肉,"韩式杂菜, 猪肉"
020,ZH,饭类,中式拌饭,,中式风格的拌饭,12000,猪肉,"拌饭, 猪肉"
021,ZH,饭类,什锦汤饭,,配各种海鲜和肉的什锦汤饭,20000,"海鲜, 猪肉","海鲜, 什锦汤, 猪肉"
022,ZH,饭类,炸酱饭,,浇上炸酱的米饭,9000,猪肉,"炸酱, 猪肉"
023,ZH,料理类,糖醋肉（小）,,酥脆的炸肉配甜酸酱汁的糖醋肉,20000,猪肉,"猪肉, 炸物"
024,ZH,料理类,糖醋肉（中）,,酥脆的炸肉配甜酸酱汁的糖醋肉,30000,猪肉,"猪肉, 炸物"
025,ZH,料理类,糖醋肉（大）,,酥脆的炸肉配甜酸酱汁的糖醋肉,40000,猪肉,"猪肉, 炸物"
026,ZH,料理类,糯米糖醋肉（小）,,使用糯米制作的有嚼劲的糖醋肉（小）,35000,"猪肉, 糯米","猪肉, 糯米, 炸物"
027,ZH,料理类,糯米糖醋肉（中）,,使用糯米制作的有嚼劲的糖醋肉（中）,35000,"猪肉, 糯米","猪肉, 糯米, 炸物"
028,ZH,料理类,糯米糖醋肉（大）,,使用糯米制作的有嚼劲的糖醋肉（大）,45000,"猪肉, 糯米","猪肉, 糯米, 炸物"
029,ZH,料理类,凉拌皮,,猪肉和海鲜搭配的凉拌皮,50000,"猪肉, 海鲜","凉拌皮, 猪肉, 海鲜"
030,ZH,料理类,八宝菜,,加入大量猪肉和海鲜的八宝菜,50000,"猪肉, 海鲜","八宝菜, 猪肉, 海鲜"
031,ZH,料理类,溜三丝,,加入大量猪肉和海鲜的溜三丝,50000,"猪肉, 海鲜","溜三丝, 猪肉, 海鲜"
032,ZH,料理类,辣椒炒肉丝,,辣味辣椒炒肉丝,50000,猪肉,"辣椒炒肉丝, 猪肉"
033,ZH,料理类,干烹虾,,麻辣酥脆的干烹虾,50000,"海鲜, 猪肉","虾, 干烹, 猪肉"
034,ZH,料理类,甜酸虾,,甜酸可口的甜酸虾,50000,"海鲜, 猪肉","虾, 甜酸, 猪肉"
035,ZH,料理类,干烹鸡,,麻辣酥脆的干烹鸡,45000,鸡肉,"鸡肉, 干烹"
036,ZH,季节特色,冷乌冬面,,配清爽汤头的冷乌冬面,9000,"面粉, 海鲜","冷乌冬面, 海鲜"
037,ZH,季节特色,冷豆汤面,,香浓清爽的冷豆汤面,9000,豆,"豆, 面条"
038,ZH,套餐,糖醋肉+炸酱面+炸酱面,,糖醋肉配两碗炸酱面套餐,30000,猪肉,"糖醋肉, 炸酱, 猪肉"
039,ZH,套餐,糖醋肉+炸酱面+炒码面,,糖醋肉配炸酱面和炒码面套餐,31000,"猪肉, 海鲜","糖醋肉, 炸酱, 炒码"
040,ZH,套餐,糖醋肉+炒码面+炒码面,,糖醋肉配两碗炒码面套餐,32000,"猪肉, 海鲜","糖醋肉, 炒码"
041,ZH,饭类,白米饭,,额外白米饭,1500,无,大米
042,ZH,饭类,加大份,,加大份量,2000,无,大米
043,ZH,饭类,加辣,,额外加辣选项,1000,无,"辣椒, 调味料"
001,JA,麺類,タニシ入りジャージャー麺,,タニシを入れた香ばしいジャージャー麺,11000,"淡水魚, 豚肉","タニシ, ジャージャーソース, 豚肉"
002,JA,麺類,タニシ入りチャンポン,,辛いチャンポンスープにタニシを加えた特別な味,13000,"淡水魚, 豚肉","タニシ, チャンポン, 豚肉"
003,JA,麺類,タニシ入りジャージャー麺大皿（2人前）,,タニシと一緒に楽しむたっぷりのジャージャー麺（2人前）,24000,"淡水魚, 豚肉","タニシ, ジャージャーソース, 豚肉"
004,JA,麺類,タニシ入りジャージャー麺大皿（3人前）,,タニシと一緒に楽しむたっぷりのジャージャー麺（3人前）,35000,"淡水魚, 豚肉","タニシ, ジャージャーソース, 豚肉"
005,JA,麺類,手打ちジャージャー麺,,手打ち麺で作った本格的なジャージャー麺,8000,豚肉,"ジャージャーソース, 豚肉"
006,JA,麺類,三鮮干し炒めジャージャー麺,,海鮮と豚肉がたっぷり入った干し炒めジャージャー麺,11000,"海鮮, 豚肉","海鮮, 干しジャージャーソース, 豚肉"
007,JA,麺類,チャンポン,,辛いスープと様々な海鮮が入ったチャンポン,9000,"海鮮, 豚肉","海鮮, チャンポン, 豚肉"
008,JA,麺類,牛バラチャンポン,,牛バラ肉と海鮮が調和した深い味わいのチャンポン,13000,"牛肉, 海鮮","牛バラ肉, チャンポン, 豚肉"
009,JA,麺類,三鮮チャンポン,,海鮮と豚肉が入った三鮮チャンポン,11000,"海鮮, 豚肉","海鮮, チャンポン, 豚肉"
010,JA,麺類,三鮮うどん,,様々な海鮮が入ったうどん,13000,"海鮮, 豚肉","海鮮, うどん, 豚肉"
011,JA,麺類,ジャージャー麺大皿（2人前）,,2人で楽しめるたっぷりのジャージャー麺,26000,豚肉,"ジャージャーソース, 豚肉"
012,JA,麺類,ジャージャー麺大皿（3人前）,,3人で楽しめるたっぷりのジャージャー麺,36000,豚肉,"ジャージャーソース, 豚肉"
013,JA,麺類,餃子（8個）,,カリッと揚げた餃子8個,6000,"小麦粉, 豚肉","餃子の皮（小麦）, 豚肉"
014,JA,ご飯物,チャーハン,,基本の豚肉チャーハン,9000,豚肉,"チャーハン, 豚肉"
015,JA,ご飯物,エビチャーハン,,エビがたっぷり入ったチャーハン,10000,"海鮮, 豚肉","エビ, チャーハン, 豚肉"
016,JA,ご飯物,チャンポンライス,,チャンポンスープと一緒に楽しむチャンポンライス,10000,"海鮮, 豚肉","海鮮, チャンポン, 豚肉"
017,JA,ご飯物,三鮮チャンポンライス,,海鮮と豚肉が入った三鮮チャンポンライス,13000,"海鮮, 豚肉","海鮮, チャンポン, 豚肉"
018,JA,ご飯物,タニシ入りチャンポンライス,,タニシと一緒に楽しむチャンポンライス,14000,"淡水魚, 豚肉","タニシ, チャンポン, 豚肉"
019,JA,ご飯物,チャプチェライス,,チャプチェとご飯が一緒に調和した一品,10000,豚肉,"チャプチェ, 豚肉"
020,JA,ご飯物,中華風ビビンバ,,中華風のビビンバ,12000,豚肉,"ビビンバ, 豚肉"
021,JA,ご飯物,八宝菜ライス,,様々な海鮮と肉を添えた八宝菜ライス,20000,"海鮮, 豚肉","海鮮, 八宝菜, 豚肉"
022,JA,ご飯物,ジャージャーライス,,ジャージャーソースをかけたご飯,9000,豚肉,"ジャージャーソース, 豚肉"
023,JA,料理,酢豚（小）,,カリカリの揚げ物と甘酢ソースが調和した酢豚,20000,豚肉,"豚肉, 揚げ物"
024,JA,料理,酢豚（中）,,カリカリの揚げ物と甘酢ソースが調和した酢豚,30000,豚肉,"豚肉, 揚げ物"
025,JA,料理,酢豚（大）,,カリカリの揚げ物と甘酢ソースが調和した酢豚,40000,豚肉,"豚肉, 揚げ物"
026,JA,料理,もち米入り酢豚（小）,,もち米を使用したもちもち食感の酢豚（小）,35000,"豚肉, もち米","豚肉, もち米, 揚げ物"
027,JA,料理,もち米入り酢豚（中）,,もち米を使用したもちもち食感の酢豚（中）,35000,"豚肉, もち米","豚肉, もち米, 揚げ物"
028,JA,料理,もち米入り酢豚（大）,,もち米を使用したもちもち食感の酢豚（大）,45000,"豚肉, もち米","豚肉, もち米, 揚げ物"
029,JA,料理,涼拌三絲,,豚肉と海鮮が調和した涼拌三絲,50000,"豚肉, 海鮮","涼拌三絲, 豚肉, 海鮮"
030,JA,料理,八宝菜,,豚肉と海鮮がたっぷり入った八宝菜,50000,"豚肉, 海鮮","八宝菜, 豚肉, 海鮮"
031,JA,料理,溜三絲,,豚肉と海鮮がたっぷり入った溜三絲,50000,"豚肉, 海鮮","溜三絲, 豚肉, 海鮮"
032,JA,料理,チンジャオロース,,辛いチンジャオロース,50000,豚肉,"チンジャオロース, 豚肉"
033,JA,料理,エビのチリソース炒め,,辛くてカリカリのエビのチリソース炒め,50000,"海鮮, 豚肉","エビ, チリソース, 豚肉"
034,JA,料理,エビのレモンソース炒め,,甘酸っぱいエビのレモンソース炒め,50000,"海鮮, 豚肉","エビ, レモンソース, 豚肉"
035,JA,料理,鶏肉のニンニク炒め,,辛くてカリカリの鶏肉のニンニク炒め,45000,鶏肉,"鶏肉, ニンニク炒め"
036,JA,季節の一品,冷やしうどん,,冷たいつゆと一緒に楽しむ冷やしうどん,9000,"小麦粉, 海鮮","冷やしうどん, 海鮮"
037,JA,季節の一品,冷やし豆乳麺,,香ばしくて冷たい豆乳麺,9000,大豆,"大豆, 麺"
038,JA,セットメニュー,酢豚+ジャージャー麺+ジャージャー麺,,酢豚とジャージャー麺2杯のセット,30000,豚肉,"酢豚, ジャージャーソース, 豚肉"
039,JA,セットメニュー,酢豚+ジャージャー麺+チャンポン,,酢豚とジャージャー麺,31000,チャンポン1杯のセット,"豚肉, 海鮮"
040,JA,セットメニュー,酢豚+チャンポン+チャンポン,,酢豚とチャンポン2杯のセット,32000,"豚肉, 海鮮","酢豚, チャンポン"
041,JA,ご飯物,ライス,,追加ライス,1500,なし,米
042,JA,ご飯物,大盛り,,大盛り追加,2000,なし,米
043,JA,ご飯物,辛さ追加,,辛さ追加オプション,1000,なし,"唐辛子, 調味料"
42,JA,ご飯物,大盛り,,大盛り追加,2000,なし,米
43,JA,ご飯物,辛さ追加,,辛さ追加オプション,1000,なし,"唐辛子, 調味料"
